snapshot_id,snapshot_date,scenario_id,scenario_label,kind,role,lme_cash_logret,usdinr_logret,freight_logret,pnl_inr,mc_percentile_frac,beyond_mc_var95,beyond_mc_var99,beyond_mc_es99,beyond_every_mc_path,loss_over_mc_var99,factor_move_sigma_horizon,normal_prob_of_move_frac,label,note
ATH_PLUS_1,2022-03-08,lme_minus_15pct,LME cash −15%,market,SCENARIO,-0.162518929498,0.0,0.0,-73528136.76,0.0135,True,False,False,False,0.963288708829,-2.218402354326,0.013263705374,ACADEMIC SIMULATION — not actual trades,MCX recomputed from shocked cash at the held basis (unit beta)
ATH_PLUS_1,2022-03-08,lme_minus_15pct_unhedged_memo,"LME cash −15%, MCX hedges removed",market,MEMO,-0.162518929498,0.0,0.0,-73528136.76,0.0135,True,False,False,False,0.963288708829,-2.218402354326,0.013263705374,ACADEMIC SIMULATION — not actual trades,counterfactual book without the MCX legs (ScheduleCache drop_instruments={'mcx'}): what the hedge saved
ATH_PLUS_1,2022-03-08,inr_minus_5pct,INR −5% (USD/INR +5%),market,SCENARIO,0.0,0.048790164169,0.0,86644.04,0.4949,False,False,False,False,-0.00113511958,5.491929519129,1.9878e-08,ACADEMIC SIMULATION — not actual trades,rupee depreciation convention: quoted USD/INR x 1.05; customs rate moves with it
ATH_PLUS_1,2022-03-08,freight_plus_40pct,Freight +40% (HYPOTHETICAL),market,SCENARIO,0.0,0.0,0.336472236621,-8551738.12,0.4013,False,False,False,False,0.112035924465,14.020987802652,0.0,HYPOTHETICAL STRESS — not a 2022 event,"both lanes; India-inbound freight FELL through Mar-Aug 2022 — a hypothetical spike, not a replay"
ATH_PLUS_1,2022-03-08,buyer_default,BUY_RJK_01 (SIM) defaults,credit,SCENARIO,0.0,0.0,0.0,0.0,0.4943,False,False,False,False,-0.0,,,ACADEMIC SIMULATION — not actual trades,no open flow with this buyer on the snapshot date — nothing to default on
ATH_PLUS_1,2022-03-08,buyer_default_recovery_0pct_memo,"BUY_RJK_01 defaults, recovery 0% on released cargo",credit,MEMO,0.0,0.0,0.0,0.0,0.4943,False,False,False,False,-0.0,,,ACADEMIC SIMULATION — not actual trades,the recovery applies only to cargo already released to the buyer; retained cargo is unaffected
ATH_PLUS_1,2022-03-08,buyer_default_recovery_50pct_memo,"BUY_RJK_01 defaults, recovery 50% on released cargo",credit,MEMO,0.0,0.0,0.0,0.0,0.4943,False,False,False,False,-0.0,,,ACADEMIC SIMULATION — not actual trades,the recovery applies only to cargo already released to the buyer; retained cargo is unaffected
ATH_PLUS_1,2022-03-08,buyer_default_with_lme_minus_15pct_memo,BUY_RJK_01 defaults AND LME −15%,credit,MEMO,-0.162518929498,0.0,0.0,-73528136.76,0.0135,True,False,False,False,0.963288708829,,,ACADEMIC SIMULATION — not actual trades,wrong-way combination: retained cargo is resold into the fallen market (its hedge was lifted at sale)
ATH_PLUS_1,2022-03-08,qco_hold_demurrage,BIS-QCO hold + demurrage (HYPOTHETICAL policy),policy,SCENARIO,0.0,0.0,0.0,-14281439.69,0.3415,False,False,False,False,0.187100478819,,,HYPOTHETICAL STRESS — not a 2022 event,"no QCO applied to scrap in 2022; +21 d dwell at the first-slab rate, 10% rejected at 15% loss; tickets with uncleared lots only; extra finance cost of the delay NOT included"
ATH_PLUS_1,2022-03-08,qco_hold_all_tickets_memo,"BIS-QCO stress, API applied to every ticket on the book",policy,MEMO,0.0,0.0,0.0,-14281439.69,0.3415,False,False,False,False,0.187100478819,,,HYPOTHETICAL STRESS — not a 2022 event,overstates: charges dwell on boxes already released
PEAK_GROSS_LME,2022-04-21,lme_minus_15pct,LME cash −15%,market,SCENARIO,-0.162518929498,0.0,0.0,-22233239.34,0.0137,True,False,False,False,0.967280737508,-2.218402354326,0.013263705374,ACADEMIC SIMULATION — not actual trades,MCX recomputed from shocked cash at the held basis (unit beta)
PEAK_GROSS_LME,2022-04-21,lme_minus_15pct_unhedged_memo,"LME cash −15%, MCX hedges removed",market,MEMO,-0.162518929498,0.0,0.0,-165944180.6,0.0,True,True,True,True,7.219578171349,-2.218402354326,0.013263705374,ACADEMIC SIMULATION — not actual trades,counterfactual book without the MCX legs (ScheduleCache drop_instruments={'mcx'}): what the hedge saved
PEAK_GROSS_LME,2022-04-21,inr_minus_5pct,INR −5% (USD/INR +5%),market,SCENARIO,0.0,0.048790164169,0.0,-1445139.56,0.4408,False,False,False,False,0.062872334622,5.491929519129,1.9878e-08,ACADEMIC SIMULATION — not actual trades,rupee depreciation convention: quoted USD/INR x 1.05; customs rate moves with it
PEAK_GROSS_LME,2022-04-21,freight_plus_40pct,Freight +40% (HYPOTHETICAL),market,SCENARIO,0.0,0.0,0.336472236621,0.0,0.4957,False,False,False,False,-0.0,14.020987802652,0.0,HYPOTHETICAL STRESS — not a 2022 event,"both lanes; India-inbound freight FELL through Mar-Aug 2022 — a hypothetical spike, not a replay"
PEAK_GROSS_LME,2022-04-21,buyer_default,BUY_RJK_01 (SIM) defaults,credit,SCENARIO,0.0,0.0,0.0,0.0,0.4957,False,False,False,False,-0.0,,,ACADEMIC SIMULATION — not actual trades,no open flow with this buyer on the snapshot date — nothing to default on
PEAK_GROSS_LME,2022-04-21,buyer_default_recovery_0pct_memo,"BUY_RJK_01 defaults, recovery 0% on released cargo",credit,MEMO,0.0,0.0,0.0,0.0,0.4957,False,False,False,False,-0.0,,,ACADEMIC SIMULATION — not actual trades,the recovery applies only to cargo already released to the buyer; retained cargo is unaffected
PEAK_GROSS_LME,2022-04-21,buyer_default_recovery_50pct_memo,"BUY_RJK_01 defaults, recovery 50% on released cargo",credit,MEMO,0.0,0.0,0.0,0.0,0.4957,False,False,False,False,-0.0,,,ACADEMIC SIMULATION — not actual trades,the recovery applies only to cargo already released to the buyer; retained cargo is unaffected
PEAK_GROSS_LME,2022-04-21,buyer_default_with_lme_minus_15pct_memo,BUY_RJK_01 defaults AND LME −15%,credit,MEMO,-0.162518929498,0.0,0.0,-22233239.34,0.0137,True,False,False,False,0.967280737508,,,ACADEMIC SIMULATION — not actual trades,wrong-way combination: retained cargo is resold into the fallen market (its hedge was lifted at sale)
PEAK_GROSS_LME,2022-04-21,qco_hold_demurrage,BIS-QCO hold + demurrage (HYPOTHETICAL policy),policy,SCENARIO,0.0,0.0,0.0,-45556026.25,0.0,True,True,True,True,1.981963401971,,,HYPOTHETICAL STRESS — not a 2022 event,"no QCO applied to scrap in 2022; +21 d dwell at the first-slab rate, 10% rejected at 15% loss; tickets with uncleared lots only; extra finance cost of the delay NOT included"
PEAK_GROSS_LME,2022-04-21,qco_hold_all_tickets_memo,"BIS-QCO stress, API applied to every ticket on the book",policy,MEMO,0.0,0.0,0.0,-45556026.25,0.0,True,True,True,True,1.981963401971,,,HYPOTHETICAL STRESS — not a 2022 event,overstates: charges dwell on boxes already released
PEAK_BUYER_CONTRACTED,2022-07-27,lme_minus_15pct,LME cash −15%,market,SCENARIO,-0.162518929498,0.0,0.0,820056.89,0.9839,False,False,False,False,-0.823931532261,-2.218402354326,0.013263705374,ACADEMIC SIMULATION — not actual trades,MCX recomputed from shocked cash at the held basis (unit beta)
PEAK_BUYER_CONTRACTED,2022-07-27,lme_minus_15pct_unhedged_memo,"LME cash −15%, MCX hedges removed",market,MEMO,-0.162518929498,0.0,0.0,-35036523.15,0.0,True,True,True,True,35.202065339049,-2.218402354326,0.013263705374,ACADEMIC SIMULATION — not actual trades,counterfactual book without the MCX legs (ScheduleCache drop_instruments={'mcx'}): what the hedge saved
PEAK_BUYER_CONTRACTED,2022-07-27,inr_minus_5pct,INR −5% (USD/INR +5%),market,SCENARIO,0.0,0.048790164169,0.0,389092.54,0.8387,False,False,False,False,-0.390930937453,5.491929519129,1.9878e-08,ACADEMIC SIMULATION — not actual trades,rupee depreciation convention: quoted USD/INR x 1.05; customs rate moves with it
PEAK_BUYER_CONTRACTED,2022-07-27,freight_plus_40pct,Freight +40% (HYPOTHETICAL),market,SCENARIO,0.0,0.0,0.336472236621,0.0,0.5051,False,False,False,False,-0.0,14.020987802652,0.0,HYPOTHETICAL STRESS — not a 2022 event,"both lanes; India-inbound freight FELL through Mar-Aug 2022 — a hypothetical spike, not a replay"
