snapshot_id,snapshot_date,trade_id,base_value_excl_funding_inr,es99_contribution_inr,es99_share_frac,standalone_var99_inr,standalone_es99_inr,mean_pnl_inr
ATH_PLUS_1,2022-03-08,T01,1732880.85,-85153350.59,1.0,76330321.42,85153350.59,1582879.01
PEAK_GROSS_LME,2022-04-21,T01,44283127.38,-14121388.86,0.549927989225,12857622.92,14336440.58,269755.82
PEAK_GROSS_LME,2022-04-21,T02,40294548.44,17311742.86,-0.67416966121,17945642.96,20633712.49,-317020.51
PEAK_GROSS_LME,2022-04-21,T03,18568101.19,-6945155.68,0.270464579577,6494947.48,7155033.14,124035.26
PEAK_GROSS_LME,2022-04-21,T04,2414027.26,-22108665.11,0.860975777362,20173080.66,22204945.84,404991.58
PEAK_GROSS_LME,2022-04-21,T05,47622722.62,184852.26,-0.007198684954,201161.86,235215.84,-3622.67
PEAK_BUYER_CONTRACTED,2022-07-27,T01,70856362.09,0.0,-0.0,-0.0,-0.0,0.0
PEAK_BUYER_CONTRACTED,2022-07-27,T02,48829806.26,0.0,-0.0,-0.0,-0.0,0.0
PEAK_BUYER_CONTRACTED,2022-07-27,T03,32115936.57,0.0,-0.0,-0.0,-0.0,0.0
PEAK_BUYER_CONTRACTED,2022-07-27,T04,9913953.54,0.0,-0.0,-0.0,-0.0,0.0
PEAK_BUYER_CONTRACTED,2022-07-27,T05,36108985.15,0.0,-0.0,-0.0,-0.0,0.0
PEAK_BUYER_CONTRACTED,2022-07-27,T06,13107320.78,0.0,-0.0,-0.0,-0.0,0.0
PEAK_BUYER_CONTRACTED,2022-07-27,T07,9509626.38,-11172.69,0.00973361587,58234.53,66061.49,98.63
PEAK_BUYER_CONTRACTED,2022-07-27,T08,-5395035.82,-1136673.11,0.99026638413,990547.13,1139145.9,-17503.44
