date,trade_id,freight_shock_frac,pnl_base_inr,pnl_shocked_inr,impact_inr,label
2022-03-08,BOOK,0.4,1732880.8476,-6818857.2772,-8551738.1248,HYPOTHETICAL STRESS — not a 2022 event
2022-03-08,T01,0.4,1732880.8476,-6818857.2772,-8551738.1248,HYPOTHETICAL STRESS — not a 2022 event
2022-03-08,T02,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-08,T03,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-08,T04,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-08,T05,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-08,T06,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-08,T07,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-08,T08,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-08,T09,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-09,BOOK,0.4,2396227.9518,-6105333.914,-8501561.8658,HYPOTHETICAL STRESS — not a 2022 event
2022-03-09,T01,0.4,2396227.9518,-6105333.914,-8501561.8658,HYPOTHETICAL STRESS — not a 2022 event
2022-03-09,T02,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-09,T03,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-09,T04,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-09,T05,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-09,T06,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-09,T07,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-09,T08,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-09,T09,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-10,BOOK,0.4,1571243.3197,-6810281.5431,-8381524.8628,HYPOTHETICAL STRESS — not a 2022 event
2022-03-10,T01,0.4,1571243.3197,-6810281.5431,-8381524.8628,HYPOTHETICAL STRESS — not a 2022 event
2022-03-10,T02,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-10,T03,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-10,T04,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-10,T05,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-10,T06,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-10,T07,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-10,T08,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-10,T09,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-11,BOOK,0.4,41937566.841,33547414.9068,-8390151.9342,HYPOTHETICAL STRESS — not a 2022 event
2022-03-11,T01,0.4,3014942.6406,-5375209.2936,-8390151.9342,HYPOTHETICAL STRESS — not a 2022 event
2022-03-11,T02,0.4,38922624.2004,38922624.2004,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-11,T03,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-11,T04,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-11,T05,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-11,T06,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-11,T07,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-11,T08,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-11,T09,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-14,BOOK,0.4,32857559.0257,24453631.8103,-8403927.2154,HYPOTHETICAL STRESS — not a 2022 event
2022-03-14,T01,0.4,-6843072.4277,-15246999.6431,-8403927.2154,HYPOTHETICAL STRESS — not a 2022 event
2022-03-14,T02,0.4,39700631.4534,39700631.4534,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-14,T03,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-14,T04,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-14,T05,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-14,T06,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-14,T07,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-14,T08,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-14,T09,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-15,BOOK,0.4,32845144.1302,24462778.7593,-8382365.3709,HYPOTHETICAL STRESS — not a 2022 event
2022-03-15,T01,0.4,-5940782.4173,-14323147.7882,-8382365.3709,HYPOTHETICAL STRESS — not a 2022 event
2022-03-15,T02,0.4,38785926.5475,38785926.5475,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-15,T03,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-15,T04,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-15,T05,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-15,T06,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-15,T07,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-15,T08,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-15,T09,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-16,BOOK,0.4,34752251.9281,26389450.3382,-8362801.5898,HYPOTHETICAL STRESS — not a 2022 event
2022-03-16,T01,0.4,-4626968.7599,-12989770.3497,-8362801.5898,HYPOTHETICAL STRESS — not a 2022 event
2022-03-16,T02,0.4,39379220.688,39379220.688,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-16,T03,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-16,T04,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-16,T05,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-16,T06,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-16,T07,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-16,T08,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-16,T09,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-17,BOOK,0.4,39458010.3355,31446261.8899,-8011748.4456,HYPOTHETICAL STRESS — not a 2022 event
2022-03-17,T01,0.4,391269.6224,-7620478.8232,-8011748.4456,HYPOTHETICAL STRESS — not a 2022 event
2022-03-17,T02,0.4,39066740.7131,39066740.7131,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-17,T03,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-17,T04,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-17,T05,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-17,T06,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-17,T07,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-17,T08,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-17,T09,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-18,BOOK,0.4,39174171.521,39174171.521,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-18,T01,0.4,-220614.0617,-220614.0617,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-18,T02,0.4,39394785.5827,39394785.5827,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-18,T03,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-18,T04,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-18,T05,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-18,T06,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-18,T07,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-18,T08,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-18,T09,0.4,0.0,0.0,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-21,BOOK,0.4,42775240.6415,42775240.6415,0.0,HYPOTHETICAL STRESS — not a 2022 event
2022-03-21,T01,0.4,3299226.8524,3299226.8524,0.0,HYPOTHETICAL STRESS — not a 2022 event
