week_end,value_date,grade,lane,in_window,lme_3m_usd_t,usdinr,usdinr_goods,customs_usdinr_import,customs_fx_src,grade_factor,freight_base_usd_t,freight_src,mcx_contract,mcx_anchor_inr_kg,cfr_usd_t,payload_scale,freight_usd_t,fob_usd_t,insurance_usd_t,cif_usd_t,av_customs_inr_t,goods_inr_t,bcd_inr_t,sws_inr_t,igst_inr_t,port_inr_t,finance_inr_t,igst_finance_inr_t,landed_inr_t,recovery_frac,anchor_inr_t,byproduct_inr_t,conversion_inr_t,net_arb_inr_t,margin_threshold_inr_t,window_open,open_base,open_pit_mix,open_conv18k,trade_eligible,net_arb_pit_mix_inr_t,net_arb_conv18k_inr_t,net_arb_usd_t
2022-01-07,2022-01-07,zorba,JEA_NSA,False,2932.0,74.33,74.5528,75.1476,MARKUP_FALLBACK,0.764806,24.33,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M1,235.4702,2242.4125,0.961538,23.3942,2219.0183,2.4667,2244.8792,168697.35,167362.03,4217.43,421.74,31200.57,1652.82,1790.7,365.43,175810.15,0.865458,226470.2,8630.25,10385.5,18435.05,5000.0,True,True,True,True,True,22548.6,13242.3,248.0163
2022-01-07,2022-01-07,zorba,USEC_MUN,False,2932.0,74.33,74.5528,75.1476,MARKUP_FALLBACK,0.764806,107.9,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M2,236.1243,2242.4125,1.0,107.9,2134.5125,2.4667,2244.8792,168697.35,167362.03,4217.43,421.74,31200.57,2650.0,3268.02,365.43,178284.66,0.865458,227124.3,8630.25,10385.5,16526.64,5000.0,True,True,True,True,True,20675.08,11333.89,222.3414
2022-01-07,2022-01-07,taint_tabor,JEA_NSA,False,2932.0,74.33,74.5528,75.1476,MARKUP_FALLBACK,0.764806,24.33,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M1,235.4702,2242.4125,1.25,30.4125,2212.0,2.4667,2244.8792,168697.35,167362.03,4217.43,421.74,31200.57,2148.66,1790.7,365.43,176305.99,0.897092,226470.2,0.0,10765.1,16093.51,5000.0,True,True,True,True,True,20207.05,10710.95,216.5143
2022-01-07,2022-01-07,taint_tabor,USEC_MUN,False,2932.0,74.33,74.5528,75.1476,MARKUP_FALLBACK,0.764806,107.9,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M2,236.1243,2242.4125,1.0,107.9,2134.5125,2.4667,2244.8792,168697.35,167362.03,4217.43,421.74,31200.57,2650.0,3268.02,365.43,178284.66,0.897092,227124.3,0.0,10765.1,14701.63,5000.0,True,True,True,True,True,18850.07,9319.08,197.7886
2022-01-07,2022-01-07,tense,JEA_NSA,False,2932.0,74.33,74.5528,75.1476,MARKUP_FALLBACK,0.714806,24.33,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M1,235.4702,2095.8125,1.0,24.33,2071.4825,2.3054,2098.1179,157668.59,156420.56,3941.71,394.17,29160.81,1718.93,1673.63,341.54,164490.55,0.916594,226470.2,0.0,10999.13,32091.55,5000.0,True,True,True,True,True,36205.1,26591.99,431.7442
2022-01-07,2022-01-07,tense,USEC_MUN,False,2932.0,74.33,74.5528,75.1476,MARKUP_FALLBACK,0.714806,107.9,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M2,236.1243,2095.8125,1.0,107.9,1987.9125,2.3054,2098.1179,157668.59,156420.56,3941.71,394.17,29160.81,2650.0,3054.37,341.54,166802.36,0.916594,227124.3,0.0,10999.13,30379.28,5000.0,True,True,True,True,True,34527.72,24879.71,408.7082
2022-01-14,2022-01-14,zorba,JEA_NSA,False,2980.0,74.2068,74.4273,75.0231,MARKUP_FALLBACK,0.749226,24.69,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M1,239.5836,2232.6929,0.961538,23.7404,2208.9525,2.456,2235.1489,167687.74,166356.1,4192.19,419.22,31013.85,1652.63,1779.94,363.24,174763.31,0.865458,230583.6,8757.0,10385.5,23168.61,5000.0,True,True,True,True,True,25307.71,17975.86,312.2168
2022-01-14,2022-01-14,zorba,USEC_MUN,False,2980.0,74.2068,74.4273,75.0231,MARKUP_FALLBACK,0.749226,109.46,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M2,240.2496,2232.6929,1.0,109.46,2123.2329,2.456,2235.1489,167687.74,166356.1,4192.19,419.22,31013.85,2650.0,3248.38,363.24,177229.14,0.865458,231249.6,8757.0,10385.5,21279.18,5000.0,True,True,True,True,True,23436.43,16086.43,286.7551
2022-01-14,2022-01-14,taint_tabor,JEA_NSA,False,2980.0,74.2068,74.4273,75.0231,MARKUP_FALLBACK,0.749226,24.69,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M1,239.5836,2232.6929,1.25,30.8625,2201.8304,2.456,2235.1489,167687.74,166356.1,4192.19,419.22,31013.85,2148.41,1779.94,363.24,175259.1,0.897092,230583.6,0.0,10765.1,20830.5,5000.0,True,True,True,True,True,22969.6,15447.95,280.7087
2022-01-14,2022-01-14,taint_tabor,USEC_MUN,False,2980.0,74.2068,74.4273,75.0231,MARKUP_FALLBACK,0.749226,109.46,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M2,240.2496,2232.6929,1.0,109.46,2123.2329,2.456,2235.1489,167687.74,166356.1,4192.19,419.22,31013.85,2650.0,3248.38,363.24,177229.14,0.897092,231249.6,0.0,10765.1,19457.93,5000.0,True,True,True,True,True,21615.17,14075.38,262.2122
2022-01-14,2022-01-14,tense,JEA_NSA,False,2980.0,74.2068,74.4273,75.0231,MARKUP_FALLBACK,0.699226,24.69,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M1,239.5836,2083.6929,1.0,24.69,2059.0029,2.2921,2085.985,156497.01,155254.23,3912.43,391.24,28944.12,1718.73,1661.15,339.0,163276.78,0.916594,230583.6,0.0,10999.13,37075.64,5000.0,True,True,True,True,True,39214.74,31576.07,499.6258
2022-01-14,2022-01-14,tense,USEC_MUN,False,2980.0,74.2068,74.4273,75.0231,MARKUP_FALLBACK,0.699226,109.46,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M2,240.2496,2083.6929,1.0,109.46,1974.2329,2.2921,2085.985,156497.01,155254.23,3912.43,391.24,28944.12,2650.0,3031.6,339.0,165578.5,0.916594,231249.6,0.0,10999.13,35384.37,5000.0,True,True,True,True,True,37541.61,29884.8,476.8346
2022-01-21,2022-01-21,zorba,JEA_NSA,False,3061.0,74.3911,74.6097,75.2094,MARKUP_FALLBACK,0.747774,25.08,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M1,248.2337,2288.9368,0.961538,24.1154,2264.8214,2.5178,2291.4546,172338.93,170964.74,4308.47,430.85,31874.09,1652.91,1829.25,373.32,179559.54,0.865458,239233.7,9017.36,10385.5,26119.04,5000.0,True,True,True,True,True,23739.9,20926.3,351.1044
2022-01-21,2022-01-21,zorba,USEC_MUN,False,3061.0,74.3911,74.6097,75.2094,MARKUP_FALLBACK,0.747774,111.22,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,M2,248.9243,2288.9368,1.0,111.22,2177.7168,2.5178,2291.4546,172338.93,170964.74,4308.47,430.85,31874.09,2650.0,3338.38,373.32,182065.76,0.865458,239924.3,9017.36,10385.5,24210.51,5000.0,True,True,True,True,True,21811.18,19017.76,325.449
