date,trade_id,buyer_id,receivable_inr,presettlement_inr,contracted_inr,credit_limit_inr,receivable_share_of_limit_frac
2022-03-11,T02,BUY_JNPT_01,0.0,255041269.4174,255041269.4174,560000000.0,0.0
2022-03-14,T02,BUY_JNPT_01,0.0,248914300.8802,248914300.8802,560000000.0,0.0
2022-03-15,T02,BUY_JNPT_01,0.0,231521741.9723,231521741.9723,560000000.0,0.0
2022-03-16,T02,BUY_JNPT_01,0.0,238860582.668,238860582.668,560000000.0,0.0
2022-03-17,T02,BUY_JNPT_01,0.0,235869311.9723,235869311.9723,560000000.0,0.0
2022-03-18,T02,BUY_JNPT_01,0.0,245199040.6031,245199040.6031,560000000.0,0.0
2022-03-21,T02,BUY_JNPT_01,0.0,258263940.865,258263940.865,560000000.0,0.0
2022-03-22,T02,BUY_JNPT_01,0.0,260567504.3147,260567504.3147,560000000.0,0.0
2022-03-23,T02,BUY_JNPT_01,0.0,262752281.1419,262752281.1419,560000000.0,0.0
2022-03-24,T02,BUY_JNPT_01,0.0,272073502.0192,272073502.0192,560000000.0,0.0
2022-03-25,T02,BUY_JNPT_01,0.0,263719291.4161,263719291.4161,560000000.0,0.0
2022-03-28,T02,BUY_JNPT_01,0.0,265448646.5496,265448646.5496,560000000.0,0.0
2022-03-29,T02,BUY_JNPT_01,0.0,261704555.0192,261704555.0192,560000000.0,0.0
2022-03-30,T02,BUY_JNPT_01,0.0,255269877.106,255269877.106,560000000.0,0.0
2022-03-31,T02,BUY_JNPT_01,0.0,254572154.6757,254572154.6757,560000000.0,0.0
2022-04-01,T02,BUY_JNPT_01,0.0,253600811.8329,253600811.8329,560000000.0,0.0
2022-04-04,T02,BUY_JNPT_01,0.0,248060887.0099,248060887.0099,560000000.0,0.0
2022-04-05,T02,BUY_JNPT_01,0.0,244630439.1562,244630439.1562,560000000.0,0.0
2022-04-06,T02,BUY_JNPT_01,0.0,249211502.3246,249211502.3246,560000000.0,0.0
2022-04-07,T02,BUY_JNPT_01,0.0,240979958.5226,240979958.5226,560000000.0,0.0
2022-04-08,T02,BUY_JNPT_01,0.0,244851121.2461,244851121.2461,560000000.0,0.0
2022-04-11,T02,BUY_JNPT_01,0.0,230320854.6143,230320854.6143,560000000.0,0.0
2022-04-12,T02,BUY_JNPT_01,0.0,229594700.9388,229594700.9388,560000000.0,0.0
