covariance_id,span_start,span_end,factor_i,factor_j,sample,n_obs,corr_raw,corr,cov_daily,min_eigenvalue_raw_corr,psd_adjusted,cov_horizon,sd_i_daily,sd_j_daily,sd_i_horizon,unit_i,unit_j
window,2022-03-01,2022-08-31,lme,lme,daily,126,1.0,1.0,0.000536694656,0.764247392992,False,0.005366946561,0.023166671235,0.023166671235,0.073259446908,log_return,log_return
window,2022-03-01,2022-08-31,lme,fx,daily,126,-0.014531018179,-0.014531018179,-9.4573e-07,0.764247392992,False,-9.457297e-06,0.023166671235,0.002809359546,0.073259446908,log_return,log_return
window,2022-03-01,2022-08-31,lme,freight,weekly,26,-0.210973924215,-0.210973924215,-3.709053e-05,0.764247392992,False,-0.000370905301,0.023166671235,0.007588756599,0.073259446908,log_return,log_return
window,2022-03-01,2022-08-31,fx,fx,daily,126,1.0,1.0,7.892501e-06,0.764247392992,False,7.8925011e-05,0.002809359546,0.002809359546,0.008883974931,log_return,log_return
window,2022-03-01,2022-08-31,fx,freight,weekly,26,-0.092006933389,-0.092006933389,-1.961546e-06,0.764247392992,False,-1.961546e-05,0.002809359546,0.007588756599,0.008883974931,log_return,log_return
window,2022-03-01,2022-08-31,freight,freight,weekly,26,1.0,1.0,5.7589227e-05,0.764247392992,False,0.000575892267,0.007588756599,0.007588756599,0.023997755462,log_return,log_return
window_mcx_basis,2022-03-01,2022-08-31,lme,lme,daily,126,1.0,1.0,0.000536694656,0.225743224342,False,0.005366946561,0.023166671235,0.023166671235,0.073259446908,log_return,log_return
window_mcx_basis,2022-03-01,2022-08-31,lme,fx,daily,126,-0.014531018179,-0.014531018179,-9.4573e-07,0.225743224342,False,-9.457297e-06,0.023166671235,0.002809359546,0.073259446908,log_return,log_return
window_mcx_basis,2022-03-01,2022-08-31,lme,freight,weekly,26,-0.210973924215,-0.210973924215,-3.709053e-05,0.225743224342,False,-0.000370905301,0.023166671235,0.007588756599,0.073259446908,log_return,log_return
window_mcx_basis,2022-03-01,2022-08-31,lme,mcx_basis,weekly,26,-0.75760782077,-0.75760782077,-0.031575058683,0.225743224342,False,-0.315750586832,0.023166671235,1.799020373362,0.073259446908,log_return,inr_kg_abs_change
window_mcx_basis,2022-03-01,2022-08-31,fx,fx,daily,126,1.0,1.0,7.892501e-06,0.225743224342,False,7.8925011e-05,0.002809359546,0.002809359546,0.008883974931,log_return,log_return
