date,in_window,trade_id,leg_id,leg_type,instrument,lot_id,counterparty_id,currency,status,fixed_frac,pnl_class,qty_mt,lots,notional_usd,px_usd_t,px_inr_t,px_inr_kg,fx_rate_used,settle_date,mtm_ccy,mtm_inr,mtm_fixed_inr,mtm_floating_inr,realised_cum_inr,leg_cum_pnl_inr,leg_daily_pnl_inr,fixture_vs_market_inr,weakest_input_flag
2022-03-08,True,T01,BILL_COMMISSION:L1,BILL_COMMISSION,physical,L1,,USD,floating,0.0,PNL,0.0,0,0.0,,,,77.2525,2022-04-05,-2358.72,-182216.99,0.0,-182216.99,0.0,-182216.99,-182216.99,,DIRECT
2022-03-08,True,T01,BILL_COMMISSION:L2,BILL_COMMISSION,physical,L2,,USD,floating,0.0,PNL,0.0,0,0.0,,,,77.2957,2022-04-11,-2358.72,-182318.8,0.0,-182318.8,0.0,-182318.8,-182318.8,,DIRECT
2022-03-08,True,T01,BILL_COMMISSION:L3,BILL_COMMISSION,physical,L3,,USD,floating,0.0,PNL,0.0,0,0.0,,,,77.3172,2022-04-14,-2358.72,-182369.7,0.0,-182369.7,0.0,-182369.7,-182369.7,,DIRECT
2022-03-08,True,T01,DUTY:L1,DUTY,physical,L1,,INR,floating,0.0,PNL,840.0,0,0.0,,,,77.051,2022-05-09,-4336415.06,-4336415.06,0.0,-4336415.06,0.0,-4336415.06,-4336415.06,,DIRECT
2022-03-08,True,T01,DUTY:L2,DUTY,physical,L2,,INR,floating,0.0,PNL,840.0,0,0.0,,,,77.051,2022-05-16,-4336415.06,-4336415.06,0.0,-4336415.06,0.0,-4336415.06,-4336415.06,,DIRECT
2022-03-08,True,T01,DUTY:L3,DUTY,physical,L3,,INR,floating,0.0,PNL,840.0,0,0.0,,,,77.051,2022-05-18,-4336415.06,-4336415.06,0.0,-4336415.06,0.0,-4336415.06,-4336415.06,,DIRECT
2022-03-08,True,T01,FREIGHT:L1,FREIGHT,physical,L1,Meridian Box Lines NVOCC (SIM),USD,floating,0.0,PNL,840.0,0,0.0,2234.61,,,77.497,2022-05-09,-89384.4,-6927023.07,0.0,-6927023.07,0.0,-6927023.07,-6927023.07,,ASSUMPTION
2022-03-08,True,T01,FREIGHT:L2,FREIGHT,physical,L2,Meridian Box Lines NVOCC (SIM),USD,floating,0.0,PNL,840.0,0,0.0,2234.61,,,77.5473,2022-05-16,-89384.4,-6931520.88,0.0,-6931520.88,0.0,-6931520.88,-6931520.88,,ASSUMPTION
2022-03-08,True,T01,FREIGHT:L3,FREIGHT,physical,L3,Meridian Box Lines NVOCC (SIM),USD,floating,0.0,PNL,840.0,0,0.0,2234.61,,,77.5545,2022-05-17,-89384.4,-6932163.37,0.0,-6932163.37,0.0,-6932163.37,-6932163.37,,ASSUMPTION
2022-03-08,True,T01,FUNDING,FUNDING,funding,,,INR,settled,1.0,PNL,0.0,0,0.0,,,,77.051,2022-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ASSUMPTION
2022-03-08,True,T01,FX:T01-FX-1,FX,fx_forward,,,INR,floating,0.0,PNL,0.0,0,1965600.0,,,,77.051,2022-04-05,-196560.0,-196560.0,0.0,-196560.0,0.0,-196560.0,-196560.0,,PROXY
2022-03-08,True,T01,FX:T01-FX-2,FX,fx_forward,,,INR,floating,0.0,PNL,0.0,0,1965600.0,,,,77.051,2022-04-11,-196560.0,-196560.0,0.0,-196560.0,0.0,-196560.0,-196560.0,,PROXY
2022-03-08,True,T01,FX:T01-FX-3,FX,fx_forward,,,INR,floating,0.0,PNL,0.0,0,1965600.0,,,,77.051,2022-04-14,-196560.0,-196560.0,0.0,-196560.0,0.0,-196560.0,-196560.0,,PROXY
2022-03-08,True,T01,IGST:L1,IGST,physical,L1,,INR,floating,1.0,BS,0.0,0,0.0,,,,77.051,2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,DIRECT
2022-03-08,True,T01,IGST:L2,IGST,physical,L2,,INR,floating,1.0,BS,0.0,0,0.0,,,,77.051,2022-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,DIRECT
2022-03-08,True,T01,IGST:L3,IGST,physical,L3,,INR,floating,1.0,BS,0.0,0,0.0,,,,77.051,2022-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,DIRECT
2022-03-08,True,T01,INSURANCE:L1,INSURANCE,physical,L1,,USD,floating,0.0,PNL,840.0,0,0.0,,,,77.2021,2022-03-29,-2260.48,-174514.09,0.0,-174514.09,0.0,-174514.09,-174514.09,,ASSUMPTION
2022-03-08,True,T01,INSURANCE:L2,INSURANCE,physical,L2,,USD,floating,0.0,PNL,840.0,0,0.0,,,,77.2453,2022-04-04,-2260.48,-174611.67,0.0,-174611.67,0.0,-174611.67,-174611.67,,ASSUMPTION
2022-03-08,True,T01,INSURANCE:L3,INSURANCE,physical,L3,,USD,floating,0.0,PNL,840.0,0,0.0,,,,77.2669,2022-04-07,-2260.48,-174660.45,0.0,-174660.45,0.0,-174660.45,-174660.45,,ASSUMPTION
2022-03-08,True,T01,INVENTORY:L1,INVENTORY,physical,L1,,INR,fixed_unsettled,1.0,PNL,840.0,0,0.0,,198030.198,,77.051,,166345366.35,166345366.35,166345366.35,0.0,0.0,166345366.35,166345366.35,,ASSUMPTION
2022-03-08,True,T01,INVENTORY:L2,INVENTORY,physical,L2,,INR,fixed_unsettled,1.0,PNL,840.0,0,0.0,,198030.198,,77.051,,166345366.35,166345366.35,166345366.35,0.0,0.0,166345366.35,166345366.35,,ASSUMPTION
2022-03-08,True,T01,INVENTORY:L3,INVENTORY,physical,L3,,INR,fixed_unsettled,1.0,PNL,840.0,0,0.0,,198030.198,,77.051,,166345366.35,166345366.35,166345366.35,0.0,0.0,166345366.35,166345366.35,,ASSUMPTION
2022-03-08,True,T01,PORT:L1,PORT,physical,L1,,INR,fixed_unsettled,1.0,PNL,0.0,0,0.0,,,,77.051,2022-05-18,-2226000.0,-2226000.0,-2226000.0,0.0,0.0,-2226000.0,-2226000.0,,ASSUMPTION
2022-03-08,True,T01,PORT:L2,PORT,physical,L2,,INR,fixed_unsettled,1.0,PNL,0.0,0,0.0,,,,77.051,2022-05-24,-2226000.0,-2226000.0,-2226000.0,0.0,0.0,-2226000.0,-2226000.0,,ASSUMPTION
2022-03-08,True,T01,PORT:L3,PORT,physical,L3,,INR,fixed_unsettled,1.0,PNL,0.0,0,0.0,,,,77.051,2022-05-27,-2226000.0,-2226000.0,-2226000.0,0.0,0.0,-2226000.0,-2226000.0,,ASSUMPTION
2022-03-08,True,T01,PURCHASE:L1,PURCHASE,physical,L1,SUP_USEC_01,USD,fixed_unsettled,1.0,PNL,840.0,0,0.0,2340.0,,,77.2525,2022-04-05,-1965600.0,-151847494.06,-151847494.06,0.0,0.0,-151847494.06,-151847494.06,,SIM
2022-03-08,True,T01,PURCHASE:L2,PURCHASE,physical,L2,SUP_USEC_01,USD,fixed_unsettled,1.0,PNL,840.0,0,0.0,2340.0,,,77.2957,2022-04-11,-1965600.0,-151932332.35,-151932332.35,0.0,0.0,-151932332.35,-151932332.35,,SIM
2022-03-08,True,T01,PURCHASE:L3,PURCHASE,physical,L3,SUP_USEC_01,USD,fixed_unsettled,1.0,PNL,840.0,0,0.0,2340.0,,,77.3172,2022-04-14,-1965600.0,-151974747.62,-151974747.62,0.0,0.0,-151974747.62,-151974747.62,,SIM
2022-03-09,True,T01,BILL_COMMISSION:L1,BILL_COMMISSION,physical,L1,,USD,floating,0.0,PNL,0.0,0,0.0,,,,76.7885,2022-04-05,-2358.72,-181122.59,0.0,-181122.59,0.0,-181122.59,1094.4,,DIRECT
2022-03-09,True,T01,BILL_COMMISSION:L2,BILL_COMMISSION,physical,L2,,USD,floating,0.0,PNL,0.0,0,0.0,,,,76.8312,2022-04-11,-2358.72,-181223.2,0.0,-181223.2,0.0,-181223.2,1095.6,,DIRECT
2022-03-09,True,T01,BILL_COMMISSION:L3,BILL_COMMISSION,physical,L3,,USD,floating,0.0,PNL,0.0,0,0.0,,,,76.8525,2022-04-14,-2358.72,-181273.5,0.0,-181273.5,0.0,-181273.5,1096.2,,DIRECT
2022-03-09,True,T01,DUTY:L1,DUTY,physical,L1,,INR,floating,0.0,PNL,840.0,0,0.0,,,,76.5965,2022-05-09,-4336415.06,-4336415.06,0.0,-4336415.06,0.0,-4336415.06,0.0,,DIRECT
