date,buyer_id,exposure_inr,receivable_inr,presettlement_inr,contracted_inr,credit_limit_inr,utilisation_frac,utilisation_incl_presettlement_frac,breach
2022-03-11,BUY_JNPT_01,0.0,0.0,255041269.4174,255041269.4174,560000000.0,0.0,0.4554,False
2022-03-14,BUY_JNPT_01,0.0,0.0,248914300.8802,248914300.8802,560000000.0,0.0,0.4445,False
2022-03-15,BUY_JNPT_01,0.0,0.0,231521741.9723,231521741.9723,560000000.0,0.0,0.4134,False
2022-03-16,BUY_JNPT_01,0.0,0.0,238860582.668,238860582.668,560000000.0,0.0,0.4265,False
2022-03-17,BUY_JNPT_01,0.0,0.0,235869311.9723,235869311.9723,560000000.0,0.0,0.4212,False
2022-03-18,BUY_JNPT_01,0.0,0.0,245199040.6031,245199040.6031,560000000.0,0.0,0.4379,False
2022-03-21,BUY_JNPT_01,0.0,0.0,258263940.865,258263940.865,560000000.0,0.0,0.4612,False
2022-03-22,BUY_JNPT_01,0.0,0.0,260567504.3147,260567504.3147,560000000.0,0.0,0.4653,False
2022-03-23,BUY_JNPT_01,0.0,0.0,262752281.1419,262752281.1419,560000000.0,0.0,0.4692,False
2022-03-24,BUY_JNPT_01,0.0,0.0,272073502.0192,272073502.0192,560000000.0,0.0,0.4858,False
2022-03-25,BUY_JNPT_01,0.0,0.0,263719291.4161,263719291.4161,560000000.0,0.0,0.4709,False
2022-03-28,BUY_JNPT_01,0.0,0.0,265448646.5496,265448646.5496,560000000.0,0.0,0.474,False
2022-03-29,BUY_JNPT_01,0.0,0.0,261704555.0192,261704555.0192,560000000.0,0.0,0.4673,False
2022-03-30,BUY_JNPT_01,0.0,0.0,255269877.106,255269877.106,560000000.0,0.0,0.4558,False
2022-03-31,BUY_JNPT_01,0.0,0.0,254572154.6757,254572154.6757,560000000.0,0.0,0.4546,False
2022-04-01,BUY_JNPT_01,0.0,0.0,253600811.8329,253600811.8329,560000000.0,0.0,0.4529,False
2022-04-04,BUY_JNPT_01,0.0,0.0,248060887.0099,248060887.0099,560000000.0,0.0,0.443,False
2022-04-05,BUY_JNPT_01,0.0,0.0,244630439.1562,244630439.1562,560000000.0,0.0,0.4368,False
2022-04-06,BUY_JNPT_01,0.0,0.0,249211502.3246,249211502.3246,560000000.0,0.0,0.445,False
2022-04-07,BUY_JNPT_01,0.0,0.0,240979958.5226,240979958.5226,560000000.0,0.0,0.4303,False
2022-04-08,BUY_JNPT_01,0.0,0.0,244851121.2461,244851121.2461,560000000.0,0.0,0.4372,False
2022-04-11,BUY_JNPT_01,0.0,0.0,230320854.6143,230320854.6143,560000000.0,0.0,0.4113,False
2022-04-12,BUY_JNPT_01,0.0,0.0,229594700.9388,229594700.9388,560000000.0,0.0,0.41,False
2022-04-13,BUY_JNPT_01,0.0,0.0,228939400.8514,228939400.8514,560000000.0,0.0,0.4088,False
2022-04-14,BUY_JNPT_01,0.0,0.0,231464090.5482,231464090.5482,560000000.0,0.0,0.4133,False
2022-04-19,BUY_JNPT_01,0.0,0.0,239379949.4189,239379949.4189,560000000.0,0.0,0.4275,False
2022-04-20,BUY_JNPT_01,0.0,0.0,232966901.1078,232966901.1078,560000000.0,0.0,0.416,False
2022-04-21,BUY_JNPT_01,0.0,0.0,234206489.4689,234206489.4689,560000000.0,0.0,0.4182,False
2022-04-21,BUY_MUN_01,0.0,0.0,436210598.9531,436210598.9531,650000000.0,0.0,0.6711,False
2022-04-22,BUY_JNPT_01,0.0,0.0,233721883.659,233721883.659,560000000.0,0.0,0.4174,False
2022-04-22,BUY_MUN_01,0.0,0.0,434927560.4698,434927560.4698,650000000.0,0.0,0.6691,False
2022-04-25,BUY_JNPT_01,0.0,0.0,226205355.7747,226205355.7747,560000000.0,0.0,0.4039,False
2022-04-25,BUY_MUN_01,0.0,0.0,748718826.7946,748718826.7946,650000000.0,0.0,1.1519,False
2022-04-26,BUY_JNPT_01,0.0,0.0,468132480.6087,468132480.6087,560000000.0,0.0,0.836,False
2022-04-26,BUY_MUN_01,0.0,0.0,750416251.5124,750416251.5124,650000000.0,0.0,1.1545,False
2022-04-27,BUY_JNPT_01,0.0,0.0,468093758.5759,468093758.5759,560000000.0,0.0,0.8359,False
2022-04-27,BUY_MUN_01,0.0,0.0,750211609.2223,750211609.2223,650000000.0,0.0,1.1542,False
2022-04-28,BUY_JNPT_01,241500000.0,241500000.0,225924589.7655,467424589.7655,560000000.0,0.4312,0.8347,False
2022-04-28,BUY_MUN_01,0.0,0.0,744894923.9395,744894923.9395,650000000.0,0.0,1.146,False
2022-04-29,BUY_JNPT_01,467095288.6695,467095288.6695,0.0,467095288.6695,560000000.0,0.8341,0.8341,False
2022-04-29,BUY_MUN_01,0.0,0.0,739662190.1729,739662190.1729,650000000.0,0.0,1.1379,False
2022-05-03,BUY_JNPT_01,467095288.6695,467095288.6695,0.0,467095288.6695,560000000.0,0.8341,0.8341,False
2022-05-03,BUY_MUN_01,0.0,0.0,719855115.4462,719855115.4462,650000000.0,0.0,1.1075,False
