snapshot_id,snapshot_date,variant,role,description,covariance_id,factors,horizon_bdays,n_paths,mean_pnl_inr,stdev_pnl_inr,prob_loss_frac,var95_inr,es95_inr,var99_inr,es99_inr,var99_ci95_low_inr,var99_ci95_high_inr,pnl_q0p1_inr,pnl_q1_inr,pnl_q5_inr,pnl_q50_inr,pnl_q95_inr,pnl_q99_inr,pnl_q99p9_inr,min_pnl_inr,max_pnl_inr,sim_sd_lme,sim_sd_fx,sim_sd_freight,input_flags,label,sim_sd_mcx_basis
ATH_PLUS_1,2022-03-08,normal_window,BASE,zero-mean multivariate normal; covariance of the estimation window (spec); 10-business-day horizon,window,lme fx freight,10,10000,1582879.01,36196174.48,0.4943,56139705.57,68886290.84,76330321.42,85153350.59,74438278.39,78601611.1,-98615065.36,-76316379.79,-56131079.28,548271.27,63170316.72,89270828.48,122698254.25,-106823016.15,161222522.26,0.073363991464,0.008761609369,0.023990256579,"LME DIRECT (LME official via Westmetall); USD/INR PROXY (ECB cross); freight ASSUMPTION (hindsight-calibrated reconstruction); MCX PROXY (duty-parity, unit beta); book SIM",ACADEMIC SIMULATION — not actual trades,
ATH_PLUS_1,2022-03-08,student_t_window,SENSITIVITY,multivariate Student-t (mc_student_t_dof) with the same window covariance — uncertain variance over the horizon,window,lme fx freight,10,10000,1848554.06,36595035.16,0.4943,53188625.78,72901763.64,83530404.98,108075527.16,79981815.69,88451309.37,-143499540.12,-83526030.98,-53162033.02,435633.18,61242888.69,105514818.45,203665482.45,-239013212.81,391121688.61,0.073683781184,0.008890864742,0.023677807113,"LME DIRECT (LME official via Westmetall); USD/INR PROXY (ECB cross); freight ASSUMPTION (hindsight-calibrated reconstruction); MCX PROXY (duty-parity, unit beta); book SIM",ACADEMIC SIMULATION — not actual trades,
ATH_PLUS_1,2022-03-08,bootstrap_window,SENSITIVITY,"iid bootstrap of whole demeaned window days, 10 summed per path (freight as its carried daily series)",window (resampled days),lme fx freight,10,10000,941064.35,35560339.94,0.4808,59740568.5,76844771.2,87250897.51,101939971.59,84848304.41,89738791.6,-119507155.87,-87232262.34,-59669066.87,1661641.47,58362650.11,82470273.99,108951438.25,-155549917.71,131540651.65,0.073166749103,0.008901981448,0.032248329184,"LME DIRECT (LME official via Westmetall); USD/INR PROXY (ECB cross); freight ASSUMPTION (hindsight-calibrated reconstruction); MCX PROXY (duty-parity, unit beta); book SIM",ACADEMIC SIMULATION — not actual trades,
ATH_PLUS_1,2022-03-08,normal_pit,SENSITIVITY,zero-mean normal on the mc_pit_lookback_days changes ending at the snapshot close (no hindsight),pit_ATH_PLUS_1,lme fx freight,10,10000,1569976.03,35170939.32,0.4942,54493166.82,66796301.04,74037231.95,82532458.79,72165981.88,76115465.58,-95503227.44,-74007696.12,-54475217.02,502267.7,61467798.97,86882292.56,119516726.03,-103417651.16,157098714.18,0.071666116365,0.009026225734,0.024527397155,"LME DIRECT (LME official via Westmetall); USD/INR PROXY (ECB cross); freight ASSUMPTION (hindsight-calibrated reconstruction); MCX PROXY (duty-parity, unit beta); book SIM",ACADEMIC SIMULATION — not actual trades,
ATH_PLUS_1,2022-03-08,normal_window_mcx_basis,SENSITIVITY,"base plus a 4th factor: MCX basis (₹/kg) from the third-party mirror (PROXY), MCX priced at the shocked basis",window_mcx_basis,lme fx freight mcx_basis,10,10000,1582879.01,36196174.48,0.4943,56139705.57,68886290.84,76330321.42,85153350.59,74438278.39,78601611.1,-98615065.36,-76316379.79,-56131079.28,548271.27,63170316.72,89270828.48,122698254.25,-106823016.15,161222522.26,0.073363991464,0.008761609369,0.023990256579,"LME DIRECT (LME official via Westmetall); USD/INR PROXY (ECB cross); freight ASSUMPTION (hindsight-calibrated reconstruction); MCX PROXY (duty-parity, unit beta); book SIM; MCX basis PROXY (third-party mirror)",ACADEMIC SIMULATION — not actual trades,5.724531735892
ATH_PLUS_1,2022-03-08,normal_window_to_settlement,MEMO,"base covariance scaled to the business days until the last open ticket closes — a STATIC position held to settlement, which the desk never did (hedges were added and prices fixed); not a risk number",window,lme fx freight,79,10000,11233267.76,104416633.36,0.4945,142437040.44,169976922.65,186326203.91,204343993.32,183365342.29,191508346.21,-225669065.57,-186280680.68,-142351644.79,1486781.85,198424348.14,294398614.23,424046428.75,-242397629.31,600926235.85,0.206203720684,0.024626201698,0.067429266975,"LME DIRECT (LME official via Westmetall); USD/INR PROXY (ECB cross); freight ASSUMPTION (hindsight-calibrated reconstruction); MCX PROXY (duty-parity, unit beta); book SIM",ACADEMIC SIMULATION — not actual trades,
PEAK_GROSS_LME,2022-04-21,normal_window,BASE,zero-mean multivariate normal; covariance of the estimation window (spec); 10-business-day horizon,window,lme fx freight,10,10000,478139.49,10914625.87,0.4957,16981901.04,20777326.79,22985301.45,25678614.53,22593840.8,23715618.07,-29454026.95,-22969522.06,-16955897.28,156892.87,19061374.53,26835803.52,36823203.49,-32020239.49,48827612.49,0.073363991464,0.008761609369,0.023990256579,"LME DIRECT (LME official via Westmetall); USD/INR PROXY (ECB cross); freight ASSUMPTION (hindsight-calibrated reconstruction); MCX PROXY (duty-parity, unit beta); book SIM",ACADEMIC SIMULATION — not actual trades,
PEAK_GROSS_LME,2022-04-21,student_t_window,SENSITIVITY,multivariate Student-t (mc_student_t_dof) with the same window covariance — uncertain variance over the horizon,window,lme fx freight,10,10000,559106.71,11037298.77,0.4957,16036969.68,21975131.08,25359673.43,32573539.01,24344033.31,26712101.23,-43142165.4,-25343726.86,-16016065.13,131706.49,18458598.6,31784979.3,61681597.01,-72632644.97,118362371.08,0.073683781184,0.008890864742,0.023677807113,"LME DIRECT (LME official via Westmetall); USD/INR PROXY (ECB cross); freight ASSUMPTION (hindsight-calibrated reconstruction); MCX PROXY (duty-parity, unit beta); book SIM",ACADEMIC SIMULATION — not actual trades,
PEAK_GROSS_LME,2022-04-21,bootstrap_window,SENSITIVITY,"iid bootstrap of whole demeaned window days, 10 summed per path (freight as its carried daily series)",window (resampled days),lme fx freight,10,10000,279871.89,10744813.61,0.4799,18030291.18,23229078.51,26359419.21,30839406.24,25662450.17,27235314.33,-36382072.57,-26308481.68,-18029847.13,528660.15,17589350.27,24822430.09,32975563.2,-47506442.69,39210747.14,0.073166749103,0.008901981448,0.032248329184,"LME DIRECT (LME official via Westmetall); USD/INR PROXY (ECB cross); freight ASSUMPTION (hindsight-calibrated reconstruction); MCX PROXY (duty-parity, unit beta); book SIM",ACADEMIC SIMULATION — not actual trades,
PEAK_GROSS_LME,2022-04-21,normal_pit,SENSITIVITY,zero-mean normal on the mc_pit_lookback_days changes ending at the snapshot close (no hindsight),pit_PEAK_GROSS_LME,lme fx freight,10,10000,515462.92,11082983.7,0.4957,17163805.64,20968885.29,23202762.46,25882975.9,22821798.46,23956521.2,-29623172.92,-23178735.89,-17133671.33,152974.25,19433834.67,27411329.79,37698290.19,-32188375.71,50090705.16,0.074804290974,0.009349904317,0.026935111611,"LME DIRECT (LME official via Westmetall); USD/INR PROXY (ECB cross); freight ASSUMPTION (hindsight-calibrated reconstruction); MCX PROXY (duty-parity, unit beta); book SIM",ACADEMIC SIMULATION — not actual trades,
