date,usdinr,usdinr_src,rbi_repo_pa,fed_funds_upper_pa,inr_rate_3m_pa,usd_rate_3m_pa,usd_rate_3m_filled,rates_src,fwd_premium_3m_pa,usdinr_fwd_1m,usdinr_fwd_3m
2017-12-01,64.4973,ECB_CROSS,0.06,0.0125,0.06166,0.012526,False,USD:UST13W|INR:OECD_IR3TIB,0.048807,64.7652,65.2735
2017-12-04,64.3987,ECB_CROSS,0.06,0.0125,0.06166,0.012822,False,USD:UST13W|INR:OECD_IR3TIB,0.048505,64.6645,65.1689
2017-12-05,64.4058,ECB_CROSS,0.06,0.0125,0.06166,0.012822,False,USD:UST13W|INR:OECD_IR3TIB,0.048505,64.6716,65.1761
2017-12-06,64.5198,ECB_CROSS,0.06,0.0125,0.06166,0.012822,False,USD:UST13W|INR:OECD_IR3TIB,0.048505,64.7861,65.2914
2017-12-07,64.5775,ECB_CROSS,0.06,0.0125,0.06166,0.012723,False,USD:UST13W|INR:OECD_IR3TIB,0.048606,64.8446,65.3514
2017-12-08,64.4503,ECB_CROSS,0.06,0.0125,0.06166,0.012625,False,USD:UST13W|INR:OECD_IR3TIB,0.048706,64.7174,65.2243
2017-12-11,64.4121,ECB_CROSS,0.06,0.0125,0.06166,0.013118,False,USD:UST13W|INR:OECD_IR3TIB,0.048202,64.6764,65.1777
2017-12-12,64.3974,ECB_CROSS,0.06,0.0125,0.06166,0.013216,False,USD:UST13W|INR:OECD_IR3TIB,0.048101,64.6611,65.1612
2017-12-13,64.4317,ECB_CROSS,0.06,0.0125,0.06166,0.012822,False,USD:UST13W|INR:OECD_IR3TIB,0.048505,64.6977,65.2023
2017-12-14,64.3702,ECB_CROSS,0.06,0.015,0.06166,0.013019,False,USD:UST13W|INR:OECD_IR3TIB,0.048303,64.6348,65.1369
2017-12-15,64.0424,ECB_CROSS,0.06,0.015,0.06166,0.012921,False,USD:UST13W|INR:OECD_IR3TIB,0.048404,64.3063,64.8068
2017-12-18,64.2344,ECB_CROSS,0.06,0.015,0.06166,0.013611,False,USD:UST13W|INR:OECD_IR3TIB,0.047698,64.4952,64.9899
2017-12-19,64.0299,ECB_CROSS,0.06,0.015,0.06166,0.013512,False,USD:UST13W|INR:OECD_IR3TIB,0.047799,64.2904,64.7845
2017-12-20,64.1178,ECB_CROSS,0.06,0.015,0.06166,0.013611,False,USD:UST13W|INR:OECD_IR3TIB,0.047698,64.3781,64.8719
